Date,winner,loser,,
2007-02-03,Stony Brook,Maryland-Baltimore County,,
2007-02-03,Maine,New Hampshire,,
2007-02-05,Albany (NY),Hartford,,
2007-02-05,Vermont,Boston University,,
2007-02-07,Albany (NY),Maine,,
2007-02-08,Boston University,Binghamton,,
2007-02-08,Hartford,New Hampshire,,
2007-02-08,Vermont,Maryland-Baltimore County,,
2007-02-11,Vermont,Albany (NY),,
2007-02-11,Binghamton,Maine,,
2007-02-11,New Hampshire,Boston University,,
2007-02-11,Hartford,Stony Brook,,
2007-02-14,Vermont,Maine,,
2007-02-15,Boston University,Stony Brook,,
2007-02-15,Hartford,Maryland-Baltimore County,,
2007-02-18,Maryland-Baltimore County,Boston University,,
2007-02-18,Stony Brook,New Hampshire,,
2007-02-18,Vermont,Binghamton,,
2007-02-20,Binghamton,New Hampshire,,
2007-02-22,Binghamton,Hartford,,
2007-02-22,Vermont,Boston University,,
2007-02-22,Maryland-Baltimore County,Maine,,
2007-02-22,Albany (NY),Stony Brook,,
2007-02-25,Albany (NY),Boston University,,
2007-02-25,Maine,Stony Brook,,
2007-02-25,New Hampshire,Maryland-Baltimore County,,
2007-02-25,Vermont,Hartford,,
2007-03-02,Hartford,Stony Brook,,
2007-03-03,Boston University,Binghamton,,
2007-03-03,Vermont,Hartford,,
2007-03-03,Maryland-Baltimore County,Maine,,
2007-03-03,Albany (NY),New Hampshire,,
2007-03-04,Albany (NY),Boston University,,
2007-03-04,Vermont,Maryland-Baltimore County,,
2007-03-10,Albany (NY),Vermont,,
2008-01-03,New Hampshire,Albany (NY),,
2008-01-03,Maryland-Baltimore County,Stony Brook,,
2008-01-03,Vermont,Binghamton,,
2008-01-06,Albany (NY),Vermont,,
2008-01-06,Binghamton,Boston University,,
2008-01-06,Maryland-Baltimore County,New Hampshire,,
2008-01-06,Stony Brook,Maine,,
2008-01-09,Boston University,New Hampshire,,
2008-01-09,Hartford,Binghamton,,
2008-01-09,Maryland-Baltimore County,Vermont,,
2008-01-09,Albany (NY),Stony Brook,,
2008-01-12,Binghamton,Albany (NY),,
2008-01-12,Hartford,Boston University,,
2008-01-12,Maine,Maryland-Baltimore County,,
2008-01-12,Vermont,New Hampshire,,
2008-01-15,Binghamton,Stony Brook,,
2008-01-16,Albany (NY),Boston University,,
2008-01-16,Vermont,Maine,,
2008-01-16,Maryland-Baltimore County,Hartford,,
2008-01-19,Binghamton,Maryland-Baltimore County,,
2008-01-19,Albany (NY),Hartford,,
2008-01-19,New Hampshire,Maine,,
2008-01-19,Boston University,Stony Brook,,
2008-01-21,Hartford,Maine,,
2008-01-21,Vermont,Stony Brook,,
2008-01-22,Maryland-Baltimore County,Boston University,,
2008-01-23,Maine,Albany (NY),,
2008-01-24,Hartford,Stony Brook,,
2008-01-24,Binghamton,New Hampshire,,
2008-01-25,Vermont,Boston University,,
2008-01-27,Binghamton,Maine,,
2008-01-27,New Hampshire,Hartford,,
2008-01-30,Vermont,Hartford,,
2008-01-30,Boston University,Maine,,
2008-01-30,Maryland-Baltimore County,Albany (NY),,
2008-01-30,New Hampshire,Stony Brook,,
2008-02-02,Albany (NY),Stony Brook,,
2008-02-02,Hartford,Binghamton,,
2008-02-02,Boston University,New Hampshire,,
2008-02-02,Maryland-Baltimore County,Vermont,,
2008-02-06,Albany (NY),New Hampshire,,
2008-02-06,Vermont,Binghamton,,
2008-02-06,Hartford,Maine,,
2008-02-06,Maryland-Baltimore County,Stony Brook,,
2008-02-09,Hartford,Albany (NY),,
2008-02-09,Boston University,Stony Brook,,
2008-02-09,Maryland-Baltimore County,Binghamton,,
2008-02-09,Maine,New Hampshire,,
2008-02-11,Albany (NY),Vermont,,
2008-02-12,Boston University,Binghamton,,
2008-02-14,Binghamton,New Hampshire,,
2008-02-14,Albany (NY),Maine,,
2008-02-14,Hartford,Stony Brook,,
2008-02-14,Boston University,Vermont,,
2008-02-17,Binghamton,Maine,,
2008-02-17,Hartford,New Hampshire,,
2008-02-17,Maryland-Baltimore County,Boston University,,
2008-02-17,Stony Brook,Vermont,,
2008-02-20,Maryland-Baltimore County,Albany (NY),,
2008-02-20,Boston University,Maine,,
2008-02-20,New Hampshire,Stony Brook,,
2008-02-20,Vermont,Hartford,,
2008-02-23,Stony Brook,Maine,,
2008-02-23,Maryland-Baltimore County,New Hampshire,,
2008-02-27,Albany (NY),Binghamton,,
2008-02-28,Boston University,Hartford,,
2008-02-28,Maryland-Baltimore County,Maine,,
2008-02-28,New Hampshire,Vermont,,
2008-03-01,Binghamton,Stony Brook,,
2008-03-02,Albany (NY),Boston University,,
2008-03-02,Hartford,Maryland-Baltimore County,,
2008-03-02,Vermont,Maine,,
2008-03-07,Stony Brook,Maine,,
2008-03-08,Boston University,Albany (NY),,
2008-03-08,Vermont,Binghamton,,
2008-03-08,Hartford,New Hampshire,,
2008-03-08,Maryland-Baltimore County,Stony Brook,,
2008-03-09,Hartford,Boston University,,
2008-03-09,Maryland-Baltimore County,Vermont,,
2008-03-15,Maryland-Baltimore County,Hartford,,
2009-01-03,Hartford,Albany (NY),,
2009-01-03,Binghamton,Maine,,
2009-01-03,Stony Brook,Maryland-Baltimore County,,
2009-01-05,Binghamton,Stony Brook,,
2009-01-07,New Hampshire,Hartford,,
2009-01-08,Albany (NY),Boston University,,
2009-01-08,Binghamton,Vermont,,
2009-01-08,Maine,Stony Brook,,
2009-01-10,Maryland-Baltimore County,Maine,,
2009-01-11,Boston University,New Hampshire,,
2009-01-11,Albany (NY),Vermont,,
2009-01-14,Albany (NY),Binghamton,,
2009-01-14,Vermont,Boston University,,
2009-01-14,Hartford,Maine,,
2009-01-14,New Hampshire,Maryland-Baltimore County,,
2009-01-17,Boston University,Binghamton,,
2009-01-17,Maine,Albany (NY),,
2009-01-17,Maryland-Baltimore County,Hartford,,
2009-01-17,Vermont,Stony Brook,,
2009-01-19,Binghamton,Hartford,,
2009-01-19,Boston University,Stony Brook,,
2009-01-19,Maine,New Hampshire,,
2009-01-19,Vermont,Maryland-Baltimore County,,
2009-01-22,Boston University,Maryland-Baltimore County,,
2009-01-22,Vermont,Hartford,,
2009-01-22,Binghamton,New Hampshire,,
2009-01-23,Stony Brook,Albany (NY),,
2009-01-25,Albany (NY),Maryland-Baltimore County,,
2009-01-25,Boston University,Maine,,
2009-01-25,Stony Brook,Hartford,,
2009-01-25,Vermont,New Hampshire,,
2009-01-28,Albany (NY),Hartford,,
2009-01-28,Maryland-Baltimore County,Binghamton,,
2009-01-28,New Hampshire,Stony Brook,,
2009-01-28,Vermont,Maine,,
2009-01-31,Binghamton,Maine,,
2009-01-31,Boston University,Hartford,,
2009-01-31,Vermont,New Hampshire,,
2009-01-31,Stony Brook,Maryland-Baltimore County,,
2009-02-02,Boston University,Maryland-Baltimore County,,
2009-02-03,Stony Brook,Maine,,
2009-02-04,New Hampshire,Hartford,,
2009-02-04,Binghamton,Vermont,,
2009-02-05,Boston University,Albany (NY),,
2009-02-07,Vermont,Albany (NY),,
2009-02-07,Maryland-Baltimore County,Maine,,
2009-02-07,Boston University,New Hampshire,,
2009-02-07,Binghamton,Stony Brook,,
2009-02-09,Binghamton,Albany (NY),,
2009-02-09,Vermont,Hartford,,
2009-02-10,Maryland-Baltimore County,New Hampshire,,
